noun;joy;sadness;anger;disgust;fear;trust;surprise;anticipation;valence;arousal;dominance;valence_2;intensity;duration;joy_binary;sadness_binary;anger_binary;disgust_binary;fear_binary;trust_binary;surprise_binary;anticipation_binary
paranoia;0;0.79;0.66;0.45;1;0;0.2;0.75;2.5;7;4.16;;;;0;1;1;0;1;0;0;1
apprensione;0.08;0.33;0.2;0.2;0.95;0.2;0.29;0.66;3.16;6.5;2.6;;;;0;0;0;0;1;0;0;1
euforia;0.95;0;0;0;0.12;0.08;0.58;0.41;8.5;7.83;6.33;3.78;7.69;5.5;1;0;0;0;0;0;1;0
soggezione;0.04;0.33;0.41;0.2;0.75;0.16;0.2;0.33;2.16;7.16;2.5;;;;0;0;0;0;1;0;0;0
frenesia;0.66;0.16;0.2;0;0.25;0.16;0.45;0.54;6.16;7.33;6;-0.32;5.99;4.61;1;0;0;0;0;0;0;1
empatia;;;;;;;;;;;;;;;;;;;;;;
impazienza;0.16;0;0.16;0.04;0.16;0.16;0.08;0.62;4.66;6;5;;;;0;0;0;0;0;0;0;1
disgusto;0.04;0.29;0.16;0.87;0.25;0;0.16;0.04;3;5;4;-3.41;6.26;4.53;0;0;0;1;0;0;0;0
antipatia;0.04;0.37;0.45;0.41;0.25;0.25;0.04;0.12;3.33;5.66;5;-3.12;5.97;6.82;0;0;0;0;0;0;0;0
letizia;0.91;0;0;0;0;0.75;0.29;0.33;7.83;5.16;5;3.06;5.2;5.44;1;0;0;0;0;1;0;0
astio;;;;;;;;;;;;-3.31;5.89;4.66;;;;;;;;
strazio;0;0.96;0.75;0.04;0.83;0.16;0;0;1.16;3.33;2.83;-4.19;6.03;4.42;0;1;1;0;1;0;0;0
gaudio;0.96;0.04;0;0;0;0.45;0.41;0.29;7.5;6.6;5.66;;;;1;0;0;0;0;0;0;0
stizza;;;;;;;;;;;;;;;;;;;;;;
ribrezzo;;;;;;;;;;;;;;;;;;;;;;
sollazzo;;;;;;;;;;;;;;;;;;;;;;
