docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;la seconda a Tribuna , ma è creata dall ' incrociamento a squadra di due Cieli della prima Volta a;mezza botte;voltati su i lati opposti d ' un medesimo quadrato , formandosi que ' quattro spicchj , come vi ho;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;La quarta Volta nominata a Crociera , è parimente composta di quattro spicchj eguali , e simili del Cielo della;mezza botte;"; con questa differenza però , che laddove , per formar lo Schifo , passano pel punto del colmo gli";non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;musaici , o con pitture di Artefici più singolari . La prima , è chiamata da quegli , Volta a;mezza botte;", la qual è forse la più antica ; come che dalla Natura medesima l ' imparassero nell ' osservare";non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;enunciò quella sua mirabilissima quadratura esatta arimmetica per indefiniti numeri rotti , ec . ) però anche il Cielo della;mezza botte;non lo sappiamo precisamente quadrare , e solo ( in relazione ad un noto quadrato ) in termini per altro;non_ev
doc#550;1841-1947;5_PROSA_DE ROBERTO_VICERÈ;PROSA;Federico De Roberto;I Vicerè;1894;;ultimo momento , pertinace , ostinata , inflessibile , aveva detto che mai , mai , mai avrebbe sposato quella;mezza botte;, e inutilmente i fratelli , gli zii , il Padre confessore le avevano spiegato che , se non era;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;su gli angoli del quale posano i piedi di questa Vela . Similmente della Volta a Schifo , della a;mezza botte;, e della Tribuna serrata ve ne ho dato il modo . Sicchè de ' sei Cieli di Volte avete;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;"centri delle sue basi ; che di ciascuna di queste parti il convesso , vi mostrerà quello del Cielo della";mezza botte;. Per fabbricar questa Volta costumano gli Architetti di far alzare sopra le mura opposte , e fra loro più;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;di braccia otto per lo mezzo da l ' una torre a l ' altra , con una volta a;mezza botte;"; e questa sarà dall ' uno canto all ' altro delle venti braccia , e andranno queste tre volte";non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;laddove , per formar lo Schifo , passano pel punto del colmo gli archi verticali de ' due Cieli a;mezza botte;, che vi s ' incrociano , in questa poi a Crociera passano i lati diritti de ' due medesimi;non_ev
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;Delle rimanenti tre Volte osservai , che la terza , e la quarta le composero di parti della prima e;mezza botte;, e che la quinta la formarono d ' una sola parte della seconda a Tribuna serrata . Mi dichiaro;non_ev
