docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#296;1533-1691;3_PROSA_BANDELLO_NOVELLE;PROSA;Matteo Bandello;Novelle;1554-73;;, il cui santo nome sempre sia lodato e riverito . E chi sa se la maestà divina con questo;mezzo mi;voglia salvare ? Chè forse essendo tant ' alto maritata , mi sarei levata in superbia e divenuta altiera con;-
doc#263;1533-1691;3_PERS_TASSO_LETTERE;PERSONALI;Torquato Tasso;Lettere;XVI;;suo fratello , ch ' è gentiluomo principale , e ricco : laonde non dovrei temere , che in questo;mezzo mi;mancassero le cose necessarie . Ma questa pratica fia spedita da l ' altra di monsignor di Reggio , di;-
doc#492;1841-1947;5_PERS_DE SANCTIS_LA GIOVINEZZA;PERSONALI;Francesco De Sanctis;La giovinezza;1889;;Stetti così un pezzo tra lacrime e preghiere . Uscì una messa ch ' io sentii . Ma nel bel;mezzo mi;distrassi , e non seguii più il prete , e seguii le ombre del mio cervello . Pensai a don;-
doc#256;1533-1691;3_PERS_CELLINI_VITA;PERSONALI;Benvenuto Cellini;Vita;1558-67;;importante e belle , le quali mi detton grandissimo animo a ' ndar più inanzi . Mio padre in questo;mezzo mi;scriveva molto pietosamente che io dovessi tornare a lui , e per ogni lettera mi ricordava che io non dovessi;-
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;: mbé . A proposito del piccione amico del tuo Gigio , il Padre Secchi lesse all ' accademia un;mezzo migliaio;d ' ottave nelle quali si parlava di un certo angiolo che Sisto V∞ voleva acchiappare per le ali .;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;"altri lavori ; passati così un poco più su , trovamo una certa via , dove noi , andati forse";mezzo miglio;, trovamo uno che tagliava legne , di che tutti c ' allegramo , e domandatolo della via d ';non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;queste cinque parti ch ' io ho fatte di ciascheduno quadro è quattro stadii , come puoi intendere , cioè;mezzo miglio;. E perché a volere sminuire tanto questo stadio , cioè dispartirlo in tante braccia piccole proporzionate ad esso secondo;non_ev
doc#99;1376-1532;2_ESP_FRESCOBALDI_VIAGGIO IN TERRASANTA;ESPOSITIVI;Leonardo Frescobaldi;Viaggio in Terrasanta;1385;toscano;coverta , per modo che poca speranza ci era rimasa , e così ci condusse presso alla terra forse a;mezzo miglio;. [262] Per la grazia di Dio cominciò a rabbonacciare , mettendo in mare certe reliquie appropriate alla fortuna .;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;, come cosa non solo nuova ma piena di somma indignità , andorono insino in su ' Prati , un;mezzo miglio;"fuora della porta , a riceverlo in nome del pontefice il cardinale agenense e quello di Strigonia ; da '";non_ev
doc#150;1376-1532;2_POES_BURCHIELLO_RIME;POESIA;Domenico di Giovanni detto il Burchiello;Rime;XV;toscano;avea vermiglio . Tre quarte d ' occhio cieco , e l ' altro cispo , Cavati dentro ben un;mezzo miglio;", Che ' l cor vi si vedea per lo condutto ; Se fusse stato asciutto Pur delle gambe ,";non_ev
doc#84;XIII cent.-1375;1_PROSA_MARCO POLO_MILIONE;PROSA;Marco Polo;Milione;XIV;toscano;E dentro da la città su questo fiume è uno ponte tutto di pietre , e è lungo bene uno;mezzo miglio;"e largo VIII passi . Su per lo ponte àe colonne di marmore che sostegnono la copritura del ponte ;";non_ev
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;consiglio che grande aiuto posso donare : il quale è questo . Tu puoi di quinci vedere , forse un;mezzo miglio;vicin di qui , un boschetto , nel quale Natan quasi ogni mattina va tutto solo prendendo diporto per ben;non_ev
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;s ' accovaccia e dentro l ' acqua nera stassi attuffata la solinga fera . Nel pantan che circonda un;mezzo miglio;71 tra siringhe palustri il ventre adagia . Splende nel fosco e minaccioso ciglio d ' un orribile ardor luce;non_ev
doc#413;1692-1840;4_PROSA_FOSCOLO_ULTIME LETTERE DI JACOPO ORTIS;PROSA;Ugo Foscolo;Ultime lettere di Jacopo Ortis;1802;;"sentiero , ed io raggiungendola : — Andate voi lontano , ragazza ? — Signor mio , no ; un";mezzo miglio;". — Pur que ' due fasci vi fanno camminare a disagio ; lasciatene portare uno anche a me .";non_ev
doc#245;1533-1691;3_ESP_GALILEI_LEZIONI DI GALILEO INTORNO ALLA FIGURA;ESPOSITIVI;Galileo Galilei;Lezioni di Galielo intorno alla figura, sito e grandezza dell'Inferno di Dante Alighieri;1588;;sua estrema sboccatura miglia 175 , intorno a la quale esso cerchio dei golosi si distende con una larghezza di;mezzo miglio;, talchè il suo maggior diametro viene ad esser miglia 176 . Da questo cerchio con simil salita si perviene;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;mi piaceva . E questo era un luogo rilevato dal piano , il quale così a vedere pareva quasi un;mezzo miglio;, e non era però spiccato totalmente da questa montagna , ma era ataccata da piè . Assai dolcemente si;non_ev
doc#99;1376-1532;2_ESP_FRESCOBALDI_VIAGGIO IN TERRASANTA;ESPOSITIVI;Leonardo Frescobaldi;Viaggio in Terrasanta;1385;toscano;la testa a san Giovanni Battista in Sebastea nella prigione d ' Erode . Di fuori d ' Alessandria per;mezzo miglio;"si è la chiesa di Santo Atanasio , dove fece "" Quicumque vult salvus est , etc . "" .";non_ev
doc#127;1376-1532;2_PERS_MORELLI_RICORDI;PERSONALI;Giovanni Morelli;Ricordi;XV;toscano;avea chiaramente conosciuto mi dovea seguire . E passando più avanti per lo monte , ito già per ispazio di;mezzo miglio;, ed io riguardandomi d ' intorno , che era già quasi notte , ed io vidi poco innanzi risplendere;non_ev
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;stato fatto , quantunque artificio della natura e non manual paresse : e era di giro poco più che un;mezzo miglio;, intorniato di sei montagnette di non troppa altezza , e in su la sommità di ciascuna si vedeva un;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;il re , non si erano mai mosse da Rimini . Alloggiorono i fanti guasconi nel piano , presso a;mezzo miglio;"di quella città ; gli altri fanti furono distribuiti in su il monte della Imperiale , monte sopra Pesero dalla";non_ev
doc#10;XIII cent.-1375;1_ESP_VILLANI_NUOVA CRONICA;ESPOSITIVI;Giovanni Villani;Nova Cronica;1348;toscano;, verso la via che va a Tornai , in su quello s ' acamparono , presso del castello a;mezzo miglio;. E per fornire le spese della cominciata guerra di Fiandra lo re di Francia , per male consiglio di;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;. Alloggiava prima il re , dalla parte di Borgoratto , alla badia di San Lanfranco , posta circa un;mezzo miglio;di là da Pavia e oltre alla strada per la quale da Pavia si va a Milano e in sul;non_ev
doc#106;1376-1532;2_ESP_SIGOLI_VIAGGIO AL MONTE SINAI;ESPOSITIVI;Simone Sigoli;Viaggio al monte Sinai;1390;toscano;veduto più volte : questa è bella chiesa e divota . [217] E poi ci partimmo per ispazio quasi di;mezzo miglio;ed entrammo nella chiesa di Santa Maria della Cava . Questa è bellissima chiesa e divota , e havvi tanto;non_ev
doc#10;XIII cent.-1375;1_ESP_VILLANI_NUOVA CRONICA;ESPOSITIVI;Giovanni Villani;Nova Cronica;1348;toscano;"e acamparsi a Lunata ; e a dì X d ' ottobre si strinsono all ' assedio della città a";mezzo miglio;", prendendo il campo da la strada che vae a Pistoia a quella che va ad Altopascio ; e quello";non_ev
doc#167;1376-1532;2_POES_LEON BATTISTA ALBERTI_RIME;POESIA;Leon Battista Alberti;Rime;XV;toscano;"un sopraosso in sul naso , e gli occhi infiati ; l ' altra ha gli oc[[c]]hi schiacciati adentro un";mezzo miglio;"; l ' altra ti porge un piglio e par ch ' ogni uom gli puta ; quale è scrignuta";non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;": era quell ' acqua splendida e chiara che ' l fondo per tutto si vedeva ; e passati forse";mezzo miglio;di lunga dal fiume , era la detta abitazione , e riguardando per quella planizie non altrimenti pareva che una;non_ev
doc#2;XIII cent.-1375;1_ESP_ANONIMO_CRONICA_DI_PISA;ESPOSITIVI;Anonimo;Cronica di Pisa;XIV;toscano;li Ufficiali , e la Chericia , e la Masnada li andonno incontra fuore della portadi San Marco da un;mezzo miglio;e più . E lo ditto Cardinale venne a cavallo sotto un palio di drappo , portato da giovani Cittadini;non_ev
doc#2;XIII cent.-1375;1_ESP_ANONIMO_CRONICA_DI_PISA;ESPOSITIVI;Anonimo;Cronica di Pisa;XIV;toscano;' l Conte Guido ebbe due suoi segretissimi famigli , e feceli star fuore della Città di Pisa presso a;mezzo miglio;"; e quando cavalcò fuore di notte , ellino avisando intorno alla Città , et altre due se ne stavano";non_ev
doc#411;1692-1840;4_PROSA_D'AZEGLIO_ETTORE FIERAMOSCA;PROSA;Massimo D'Azeglio;Ettore Fieramosca;1833;;CosÏ fu deciso che gli Spagnuoli combattessero l ' indomani del ballo , in uno spazio lungo il mare ,;mezzo miglio;fuor della porta che va a Bari , e gli Italiani il terzo giorno , in un luogo che già;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;"Lazzero ; alloggiamenti vicini a due miglia e mezzo di Pavia , a uno miglio della vanguardia franzese e a";mezzo miglio;de ' ripari e fosse del campo loro , e tanto vicini che molto si danneggiavano con l ' artiglierie;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;e Città di Castello , dove fatti venire quattro pezzi d ' artiglieria da Mercatello , alloggiò meno di un;mezzo miglio;presso al Borgo , in sulla strada per la quale si va a Urbino , incerto di quel che avesse;non_ev
doc#178;1376-1532;2_POES_SANNAZZARO_ARCADIA;POESIA;Iacopo Sannazzaro;Arcadia;1504;toscano;e loro insieme recreare , mi pusi in camino verso una valle ombrosa e piacevole , che men di un;mezzo miglio;"vicina mi stava ; di passo in passo gridando con la usata verga i vagabundi greggi che si imboscavano .";non_ev
doc#84;XIII cent.-1375;1_PROSA_MARCO POLO_MILIONE;PROSA;Marco Polo;Milione;XIV;toscano;E ssappiate che per mezzo questa villa passa un grande fiume d ' acqua dolce , ed è largo bene;mezzo miglio;", ove à molti pesci , e va fino al mare Aziano ; e àvi bene da LXXX a C";non_ev
doc#362;1692-1840;4_PERS_BELLI_LETTERE;PERSONALI;Giuseppe Gioacchino Belli;Lettere;1814-1837;;di cavallo . - Oggi penso di mandar Ciro a vedere il così detto Sasso di S . Paolo a;mezzo miglio;fuori le porte di Terni , dove il fiume imbattendo in un enorme macigno piantato a traverso il suo corso;non_ev
doc#296;1533-1691;3_PROSA_BANDELLO_NOVELLE;PROSA;Matteo Bandello;Novelle;1554-73;;se ne tornarono verso casa pensando che egli per altra via al castello si fosse tornato . Essendo vicini a;mezzo miglio;al castello incontrarono il messo mandato per avvertir la madre di don Diego che quella sera non l ' aspettasse;non_ev
doc#135;1376-1532;2_POES_ARIOSTO_ORLANDO FURIOSO;POESIA;Ludovico Ariosto;Orlando furioso;1532;tosco-emiliano;tanto ch ' al re d ' Orano e al re Sobrino e agli altri lor compagni soprarriva , che;mezzo miglio;appresso a quei di Spagna guardavan da quel canto la campagna . 42 L ' esercito cristian che con sì;non_ev
doc#174;1376-1532;2_POES_PULCI_MORGANTE;POESIA;Luigi Pulci;Morgante;1478;toscano;Rinaldo volse a Vegliantino il freno , e così il conte , in manco d ' un baleno . Un;mezzo miglio;"s ' eran dilungati , e ritornavan con tanta fierezza che ' saracin dicìen tutti ammirati : "" Fólgore certo";non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;piantassono . Intra gli altri luoghi gli era uno monticello rilevato , il quale era poco più d ' uno;mezzo miglio;, in cima del quale pareva fatto a studio ritondo , che pareva a vedere che fusse uno monte di;non_ev
doc#71;XIII cent.-1375;1_PROSA_BOCCACCIO_DECAMERON;PROSA;Giovanni Boccaccio;Decameron;1370;toscano;pensando infino nella pigneta . E essendo già passata presso che la quinta ora del giorno e esso bene un;mezzo miglio;per la pigneta entrato , non ricordandosi di mangiare né d ' altra cosa , subitamente gli parve udire un;non_ev
doc#106;1376-1532;2_ESP_SIGOLI_VIAGGIO AL MONTE SINAI;ESPOSITIVI;Simone Sigoli;Viaggio al monte Sinai;1390;toscano;la detta sipoltura , ed è divota e bella + . Appresso al castello dove fu seppellito Lazzaro quasi a;mezzo miglio;si è l ' abitazione di santa Maria Maddalena : ora sono i palagi disfatti . Appresso si è l;non_ev
doc#418;1692-1840;4_PROSA_MANZONI_PROMESSI SPOSI40;PROSA;Alessandro Manzoni;Promessi sposi (quarantana);1840;;è di quelle parti , capisco anch ' io che qui ci vuole una spiegazione . Sopra Lecco forse un;mezzo miglio;, e quasi sul fianco dell ' altro paese chiamato Castello , c ' è un luogo detto Canterelli ,;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;il quale consiglio si fece deliberazione che il settimo dì si alloggiasse a Bufaleta e Pilastrelli , ville vicine a;mezzo miglio;"di Milano , sotto i tiri dell ' artiglierie loro , e le quali sono circostanti alla strada maestra ;";non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;deliberazione fatta , a Sorbolungo , fu necessario che alloggiassino a San Giorgio , Orciano e Mondavio , castelli distanti;mezzo miglio;l ' uno dall ' altro . Ma non ebbe migliore fortuna quello che era stato commesso a ' cavalli;non_ev
doc#106;1376-1532;2_ESP_SIGOLI_VIAGGIO AL MONTE SINAI;ESPOSITIVI;Simone Sigoli;Viaggio al monte Sinai;1390;toscano;adornata , ed è uficiata da questi Cristiani di cintura . [215] Poi ci partimmo per ispazio d ' uno;mezzo miglio;ed entrammo nella chiesa di Santa Maria della Scala , e salimmo su per una scala di pietra di venti;non_ev
doc#256;1533-1691;3_PERS_CELLINI_VITA;PERSONALI;Benvenuto Cellini;Vita;1558-67;;Solosmeo le sue faccende a Monte Casini , insieme ce ne andammo alla volta di Napoli . Arrivati a un;mezzo miglio;presso a Napoli , ci si fece incontro uno oste il quale ci invitò alla sua osteria , e ci;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;bisogno , dissi : ' Deh , andiamo sopra questi qui e cominciamo a salire . ' E come uno;mezzo miglio;fumo saliti , io veggo poco da lunga dalla strada biancheggiare : andai là e vidi che quella era una;non_ev
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;briganti che talvolta capitarono ne ' contorni - a nessuno veniva in mente d ' uscir di casa per allontanarsi;mezzo miglio;senza prendere lo schioppo . Era un ' abitudine come prendere il cappello . Ne fu dunque consegnato uno anche;non_ev
doc#441;1692-1840;4_TEATRO_FERRETTI_CENERENTOLA;TEATRO;Jacopo Ferretti;La Cenerentola;1817;;che fra poco … Tisbe Il Principe Ramiro … Clorinda Che son tre dì che nella deliziosa … Tisbe Vicina;mezzo miglio;Venuto è ad abitar … Clorinda Sceglie una sposa … Tisbe Ci mandò ad invitar … Clorinda E fra momenti;non_ev
doc#101;1376-1532;2_ESP_LANDUCCI_DIARIO FIORENTINO;ESPOSITIVI;Luca Landucci;Diario Fiorentino;XV;toscano;gli albori e ronpeva tutti e rami E nota che fu nella somità de ' monti . Circa a un;mezzo miglio;"presso a ' fiumi non fece danno . E cominciò da Fiesole , insino in Mugiello ; e a San";non_ev
doc#2;XIII cent.-1375;1_ESP_ANONIMO_CRONICA_DI_PISA;ESPOSITIVI;Anonimo;Cronica di Pisa;XIV;toscano;si fanno alli Cardinali in Pisa . Si è questo , che li vanno innanzi fuore della Città a uno;mezzo miglio;li Signori Anziani con molti Cittadini , e Uffiziali , Podestà e Capitano di Popolo di Pisa , e con;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;da ' quali essendo facilmente ributtati , si andorono ritirando alla volta dello esercito , che era già presso a;mezzo miglio;. Ove fatta relazione che la più parte degli inimici era già passata la Torre , Ercole , camminando lentamente;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;gl ' intendo di questa misura , cioè di quattro stadii per ciascheduno quadro , che sarebbe al modo nostro;mezzo miglio;per quadro . Sì che , vedendo questo , tu puoi sapere quanto viene a essere grande poi la città;non_ev
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;Tu pari el Cor di Gesù ! La Madonna del Tufo è un piccolo santuario , una cappelletta ad un;mezzo miglio;dalla Rocca , colla quale comunica per una strada piana ed ombrosa che è la passeggiata del paese . Per;non_ev
doc#412;1692-1840;4_PROSA_DA PONTE_MEMORIE;PROSA;Lorenzo da Ponte;Memorie;1823;;pulitezza di strade , non eleganza di fabbriche , non frequenza di popolazione . Ma , fatto poco più di;mezzo miglio;, quando si giunge a quella parte della borgata che sulla sponda dilatasi della Susquehanna , riviera nobile e navigabile;non_ev
doc#504;1841-1947;5_POES_ALEARDI_POESIE;POESIA;Aleardo Aleardi;Poesie;1860;;di Giava , dove sono 38 vulcani ardenti , e molti che da un pezzo paiono estinti , à un;mezzo miglio;"di circonferenza all ' incirca ; è in cima a un colle , ed è una sorgente vulcanica di acido";non_ev
doc#99;1376-1532;2_ESP_FRESCOBALDI_VIAGGIO IN TERRASANTA;ESPOSITIVI;Leonardo Frescobaldi;Viaggio in Terrasanta;1385;toscano;"alle otto miglia della più repente costa del mondo ; e quando fummo presso che alla sommità quasi a uno";mezzo miglio;, trovamo un poco di piano , dove ci riposamo un poco . [144] Poi ricominciamo a salire e trovamo;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;, che eccetto le due castella , l ' uno posto in mezzo la città l ' altro distante un;mezzo miglio;", si arrendé per opera d ' alcuni cittadini ; e il medesimo feciono Orcivecchi , Orcinuovi , Pontevico e";non_ev
doc#123;1376-1532;2_PERS_GUICCIARDINI_DIARIO DEL VIAGGIO IN SPAGNA;PERSONALI;Francesco Guicciardini;Diario del viaggio in Spagna;XV;toscano;né si disdice alle gentile donne e bene costumate , pure che vadino in abito di donne . Circa a;mezzo miglio;innanzi si entri nella terra si truova uno fiume detto Bormio , che é mal fiume e fu per affogarvi;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;noi cominciamo a montare e salimo su per la spiaggia di questa montagna . Quando fumo saliti dal piano quasi;mezzo miglio;, trovamo uno poco di pianetto , forse d ' uno stadio , il quale era spiccato netto intorno eccetto;non_ev
doc#85;XIII cent.-1375;1_PROSA_PAGOLO MORELLI_RICORDI;PROSA;Pagolo di Bartolo Morelli;Ricordi circa una vicenda giudiziaria;1364-65;toscano;avea chiaramente conosciuto mi dovea seguire . E passando più avanti per lo monte , ito già per ispazio di;mezzo miglio;, ed io riguardandomi d ' intorno , che era già quasi notte , ed io vidi poco innanzi risplendere;non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;mandati innanzi alcuni cavalli e fanti de ' suoi , scontrorono , al passare dell ' ultimo ramo propinquo a;mezzo miglio;"a Lignago , i fanti che stavano a guardia di Porto , usciti per vietare loro il passare ; ma";non_ev
doc#411;1692-1840;4_PROSA_D'AZEGLIO_ETTORE FIERAMOSCA;PROSA;Massimo D'Azeglio;Ettore Fieramosca;1833;;simil gente , dissero di camminare spediti se non volevano assaggiar le punte delle loro daghe . Dopo aver fatto;mezzo miglio;su per l ' erta , in luoghi ove non era traccia di sentiero , si fermarono , e bendaron;non_ev
doc#315;1533-1691;3_SCIENT_REDI_OSSERVAZIONI INTORNO AGLI ANIMALI;SCIENTIFICI;Francesco Redi;Osservazioni intorno agli animali viventi che si trovano negli animali viventi;1684;;che con gli stacci , più di tremila libbre : ed un altro pescatore , pure in Arno un sol;mezzo miglio;in lontananza del Mare , in sullo spuntar dell ' Alba , ne pescò più di dugento libbre , che;non_ev
doc#366;1692-1840;4_PERS_MAGALOTTI_LETTERE ODOROSE;PERSONALI;Lorenzo Magalotti;Lettere odorose;1693-1705;;"prato Mi son punto allontanato ; Io non ne presi mai più lungo esiglio , Credo , d ' un";mezzo miglio;. Io nol scopersi Dove s ' aduni Gala di fior diversi , Ma fra siepi tutte pruni , Non;non_ev
doc#104;1376-1532;2_ESP_PITTI_RICORDI;ESPOSITIVI;Bonaccorso Pitti;Ricordi;1430;toscano;"di giustizia , venite e domanderete e parte troverete "" . E quando lo Re fu presso a Parigi a";mezzo miglio;, tutti cavalieri e scudieri e uomeni d ' arme smontarono a piè in tre schiere , eccetto lo Re;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;venticinque braccia il suo piano , quasi come una strada , e questo si distendeva in mare ben circa di;mezzo miglio;. E in testa era uno scoglio rilevato di più di mezzo stadio , pareva così a vedere di lunga;non_ev
doc#174;1376-1532;2_POES_PULCI_MORGANTE;POESIA;Luigi Pulci;Morgante;1478;toscano;"a questo appello , parmi tu fermi questa gente tosto : vedi che vanno via come un uccello ; un";mezzo miglio;"già ci son discosto ; e sanza lor non si può far niente . - Disse Faburro : - Tu";non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;"Aragona , quando era duca di Calavria , e il monte di San Martino ; distendendosi le genti insino a";mezzo miglio;"di Napoli ; la persona sua più innanzi di Poggioreale alla masseria del duca di Montealto : nel quale luogo";non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;si voltavano indietro . E così per questa via andamo su la sommità , dove era circa d ' un;mezzo miglio;di piano , e la fonte così quasi al principio del piano surgeva . Eravi da luogo alcuna pianta di;non_ev
doc#203;1376-1532;2_SCIENT_DA VINCI_TRATTATO DELLA PITTURA;SCIENTIFICI;Leonardo da Vinci;Trattato della pittura;1540;toscano;"il vede ; perché l ' occhio , posto alla pelle del mare quieto , vede esso orizzonte vicino un";mezzo miglio;"o circa ; e se l ' uomo s ' innalza coll ' occhio , quant ' è la sua";non_ev
doc#411;1692-1840;4_PROSA_D'AZEGLIO_ETTORE FIERAMOSCA;PROSA;Massimo D'Azeglio;Ettore Fieramosca;1833;;o non avete occhi , o non avete danari ! , ed altre simili inculcazioni che s ' udivano da;mezzo miglio;lontano . Alla fine , un mormorar più forte della folla che occupava i luoghi superiori fece volgere a tutti;non_ev
doc#363;1692-1840;4_PERS_DA PONTE_MEMORIE;PERSONALI;Lorenzo Da Ponte;Memorie;1749;;"Non pulitezza di strade , non eleganza di fabbriche , non frequenza di popolazione ; ma fatto poco più di";mezzo miglio;, quando si giunge a quella parte della borgata che sulla sponda dilatasi della Susquehanna , riviera nobile e navigabile;non_ev
doc#10;XIII cent.-1375;1_ESP_VILLANI_NUOVA CRONICA;ESPOSITIVI;Giovanni Villani;Nova Cronica;1348;toscano;maggio la mattina per tempo si mosse l ' oste da San Piero in Campo cavalcando schierati da uno e;mezzo miglio;verso i nimici richieggendogli di battaglia . Non vollono uscire di loro steccati , e di ciò feciono saviamente .;non_ev
doc#10;XIII cent.-1375;1_ESP_VILLANI_NUOVA CRONICA;ESPOSITIVI;Giovanni Villani;Nova Cronica;1348;toscano;e quasi intorno intorno alla città , e ritrassonsi in su un forte colletto di lunge da Giadra da uno;mezzo miglio;sopra la marina , e quello come bastita aforzaro con fossi e steccati e torri di legname . Come il;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;per uno ponte di pietra secondo il luogo era bello . Passati , stava di lunga dal fiume forse un;mezzo miglio;costui , cioè quello m ' aveva detto , e giugnendo ivi vego che faceva macine da mulino . Quando;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;questa valle era circa due miglia larga il più , e trapassati alquanto si ristrinse in meno d ' un;mezzo miglio;"; quello luogo aveva alte le sponde di là e di qua altissime . ' E riguardando alto viddi due";non_ev
doc#188;1376-1532;2_PROSA_DA BARBERINO_REALI DI FRANCIA;PROSA;Andrea da Barberino;I reali di Francia;XV;toscano;seguiva Sinibaldo . Quando Buovo fu fuori della porta con Sinibaldo , s ' afrettarono di cavalcare , ed erano;mezzo miglio;di lungi , quando Duodo uscì della porta . E spronando e ' cavalli loro drieto , Sinibaldo se ne;non_ev
doc#205;1376-1532;2_SCIENT_FILARETE_TRATTATO DI ARCHITETTURA;SCIENTIFICI;Antonio Averlino detto il Filarete;Trattato di architettura;XV;toscano;, come è detto , e ordinato , volle si facesse uno bello giardino murato intorno , il quale era;mezzo miglio;"per ogni faccia , quadro a punto tanto l ' una faccia quanto l ' altra ; e questo glie";non_ev
doc#247;1533-1691;3_ESP_GUICCIARDINI_STORIA D'ITALIA;ESPOSITIVI;Francesco Guicciardini;Storia d'Italia;1561;;"Frusolone e parte de ' cavalli , con Alessandro Vitello Giambatista Savello e Pietro da Birago ; e approssimatisi a";mezzo miglio;di Larnata dove erano alloggiate cinque insegne di fanti spagnuoli , ne tirorono due insegne in una imboscata e gli;non_ev
doc#162;1376-1532;2_POES_DE MEDICI_RIME IN FORMA DI BALLATA;POESIA;Lorenzo de' Medici;Rime in forma di ballata;XV;toscano;in iscambio quella notte . Dello scambiar non me ne maraviglio : come sapete , è men d ' un;mezzo miglio;"; e spesse volte simile error piglio , come anche m ' intervenne quella notte . A Empoli il caval";non_ev
doc#174;1376-1532;2_POES_PULCI_MORGANTE;POESIA;Luigi Pulci;Morgante;1478;toscano;par che giù cascasse . Ma ' l fer gigante di sella lo trasse , e portollo di peso un;mezzo miglio;per gittarlo in un luogo fuor di strada . Orlando ritornò nel suo consiglio : videsi preso , e pigliava;non_ev
