docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;poco o niente i diversi corpi e l ' aere all ' intorno , per la ragione che i nuovi;semi calcinali;riprodotti o non esistono alla sua superficie o esistono in poca copia o vi esistono assai aderenti , come quelli;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;, o di lasciarlo del color suo naturale ( 14 ) . L ' esistenza attiva di questi germi o;semi calcinali;, ha pur essa un limite , come lo hanno tutti gli esseri organizzati , al di la ' del;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;ben di rado in tali circostanze il male si fa epidemico , e se tale diventa per gran copia di;semi calcinali;importati con uova , cannicci od altre robe infette , l ' epidemia e ' mite , e presto finisce;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;altra maggioranza nel medesimo tempo . Questi cadaveri danno pertanto germi piu ' appiccaticci nelle rispettive loro varieta ' di;semi calcinali;, quando pero ' non manchi alle dette pianticelle fungose l ' umidita ' e la cedevolezza della pelle ,;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;inetto , come gia ' dissi , al comunicare ad altri il mal del segno , perehe ' privo di;semi calcinali;, o almeno di semi perfetti , ed il terribile morbo s ' invia cosi ' al suo fine .;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;altri periranno , ma non si calcineranno o salificheranno ed altri si induriranno e si salificheranno , atteso che i;semi calcinali;, ossia del fungo parassito non formandosi , o almeno non maturando che dopo la morte del paziente , appena;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;esercire le stesse operazioni come fanno ancora al presente e faranno egualmente nei secoli avvenire , finche ' vi saranno;semi calcinali;capaci di svilupparsi e bruchi da porger loro , invasi che siano , alimento opportuno al loro incremento ed alla;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;nulla si veda , ad occhio non armato , sulla punta dello spilletto , pure vi devono esistere copiosissimi i;semi calcinali;, atteso che innestandosi collo stesso ago parecchie ninfe di seguito , senza attingere dalla stessa mummia nuovo contagio ,;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;o si tocchi puramente un filugello , gli si comunica ancora la terribile malattia , quantunque una gran parte dei;semi calcinali;siano rimasti attaccati alla carta od alla stoffa , colla quale si strofino ' la spilla . Ma se pulendo;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;"rigenerati prima di emettere il serico umore ; se tra la quarta muta e la produzione del bozzolo possono i";semi calcinarj;riprodursi sino tre volte ? Conosciuta la somma fecondita ' e moltiplicita ' di questa pianta parassita , ognun vede;-
